id,value
id_0,36
id_1,13
id_2,8
id_3,19
id_4,31
id_5,98
id_6,26
id_7,38
id_8,28
id_9,21
id_10,27
id_11,34
id_12,40
id_13,15
id_14,27
id_15,41
id_16,27
id_17,60
id_18,21
id_19,9
id_20,31
id_21,28
id_22,46
id_23,41
id_24,15
id_25,15
id_26,43
id_27,34
id_28,54
id_29,22
id_30,16
id_31,40
id_32,38
id_33,32
id_34,51
id_35,42
id_36,17
id_37,45
id_38,22
id_39,2
id_40,28
id_41,13
id_42,50
id_43,21
id_44,63
id_45,38
id_46,36
id_47,25
id_48,25
id_49,58
id_50,27
id_51,53
id_52,25
id_53,31
id_54,18
id_55,37
id_56,37
id_57,26
id_58,34
id_59,11
id_60,64
id_61,83
id_62,40
id_63,21
id_64,15
id_65,48
id_66,35
id_67,12
id_68,53
id_69,6
id_70,21
id_71,19
id_72,32
id_73,23
id_74,51
id_75,62
id_76,10
id_77,40
id_78,76
id_79,45
id_80,55
id_81,28
id_82,12
id_83,46
id_84,14
id_85,12
id_86,28
id_87,91
id_88,30
id_89,44
id_90,17
id_91,63
id_92,58
id_93,10
id_94,26
id_95,26
id_96,26
id_97,3
id_98,15
id_99,40
id_100,24
id_101,48
id_102,27
id_103,39
id_104,29
id_105,23
id_106,16
id_107,38
id_108,12
id_109,70
id_110,29
id_111,72
id_112,25
id_113,24
id_114,32
id_115,36
id_116,38
id_117,25
id_118,30
id_119,45
id_120,25
id_121,35
id_122,78
id_123,6
id_124,37
id_125,6
id_126,34
id_127,17
id_128,26
id_129,50
id_130,8
id_131,50
id_132,20
id_133,5
id_134,24
id_135,33
id_136,70
id_137,92
id_138,26
id_139,57
id_140,74
id_141,15
id_142,42
id_143,27
id_144,26
id_145,12
id_146,34
id_147,43
id_148,29
id_149,17
id_150,42
id_151,36
id_152,58
id_153,26
id_154,8
id_155,51
id_156,17
id_157,24
id_158,43
id_159,24
id_160,16
id_161,101
id_162,64
id_163,46
id_164,37
id_165,37
id_166,58
id_167,49
id_168,12
id_169,27
id_170,29
id_171,29
id_172,34
id_173,41
id_174,86
id_175,50
id_176,22
id_177,30
id_178,52
id_179,23
id_180,14
id_181,33
id_182,24
id_183,37
id_184,18
id_185,38
id_186,34
id_187,44
id_188,71
id_189,60
id_190,9
id_191,27
id_192,20
id_193,28
id_194,27
id_195,16
id_196,13
id_197,16
id_198,24
id_199,15
id_200,8
id_201,28
id_202,42
id_203,77
id_204,39
id_205,17
id_206,59
id_207,53
id_208,22
id_209,29
id_210,50
id_211,37
id_212,32
id_213,34
id_214,17
id_215,4
id_216,55
id_217,7
id_218,33
id_219,88
id_220,52
id_221,19
id_222,41
id_223,96
id_224,30
id_225,14
id_226,16
id_227,49
id_228,35
id_229,31
id_230,4
id_231,28
id_232,36
id_233,34
id_234,61
id_235,18
id_236,16
id_237,15
id_238,12
id_239,27
id_240,29
id_241,72
id_242,31
id_243,31
id_244,63
id_245,47
id_246,43
id_247,48
id_248,21
id_249,6
id_250,12
id_251,41
id_252,16
id_253,20
id_254,17
id_255,34
id_256,37
id_257,4
id_258,35
id_259,41
